,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,gambled_before
1730,4,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,2,3,6,7,1,1,2,3,0
1731,2,3,1,1,3,3,2,1,2,3,1,4,4,3,2,4,2,2,2,6,3,2,2,1,3,0
1732,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,5,5,3,2,1,1,1
1733,1,3,2,2,2,2,3,1,2,3,1,3,3,3,3,3,2,3,4,7,5,3,1,3,1,0
1734,2,3,1,2,2,3,2,1,1,2,2,3,3,1,2,3,2,2,3,5,10,1,2,4,3,0
1735,2,3,2,1,2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,8,8,1,1,3,2,0
1736,2,3,3,2,3,4,2,2,3,3,2,3,2,4,2,2,3,2,2,3,6,3,1,3,1,0
1737,4,3,4,2,2,3,2,1,1,3,1,3,3,2,2,4,1,3,4,7,8,3,2,4,3,1
1738,2,3,3,3,3,3,2,2,2,3,2,2,2,3,1,3,2,3,4,8,5,2,2,1,3,0
1739,4,3,3,3,3,3,2,2,2,2,2,3,3,3,2,2,3,2,2,3,6,1,1,2,2,0
1740,2,4,3,4,3,4,2,2,3,2,1,2,3,3,1,2,3,2,2,7,5,1,2,3,3,0
1741,4,3,3,3,3,3,3,1,1,3,1,3,4,2,2,4,1,3,3,5,5,3,2,1,1,1
1742,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,6,6,2,2,1,3,1
1743,4,4,3,3,3,2,3,1,1,3,2,3,4,2,1,3,2,3,2,6,6,1,2,3,1,0
1744,2,3,2,3,2,1,2,3,3,2,2,2,2,4,2,2,3,2,2,6,7,1,1,4,2,0
1745,2,2,3,2,3,4,4,1,1,2,1,4,3,3,1,3,2,2,3,3,5,2,2,1,1,1
1746,4,3,3,2,3,2,2,2,2,3,2,4,3,3,2,4,1,3,3,7,8,2,1,1,2,1
1747,2,3,2,2,2,2,2,2,2,3,2,4,3,3,1,2,2,2,2,7,7,2,2,1,1,1
1748,4,3,4,4,1,4,3,4,3,2,3,3,4,4,3,2,3,2,2,8,7,1,2,3,3,0
1749,2,3,3,2,2,3,3,1,2,2,2,4,3,3,3,4,2,3,4,7,8,3,1,2,1,1
1750,4,3,2,2,2,2,3,1,2,3,1,4,3,2,3,2,2,3,2,3,8,3,2,2,1,1
1751,2,3,4,3,2,3,3,2,3,2,1,3,3,3,1,3,1,3,3,4,5,1,1,4,2,0
1752,4,3,2,3,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,7,8,3,1,3,1,0
1753,2,3,1,2,2,1,4,1,1,4,1,4,3,1,2,4,1,3,3,5,5,1,2,2, ,0
1754,2,3,2,3,2,2,1,4,2,3,1,2,1,4,4,2,3,2,3,8,8,3,1,3,1,1
1755,2,4,3,3,4,4,1,3,1,1,2,1,3,4,1,1,4,1,1,3,5,3,1,2,1,0
1756,1,4,2,2,3,2,4,1,1,4,1,4,4,2,1,3,1,4,4,2,10,1,2,1,3,0
1757,4,3,3,3,3,3,2,1,2,3,3,4,2,3,3,2,3,3,3,4,0,3,1,4,1,0
1758,1,2,3,2,3,3,4,1,1,4,1,4,4,1,1,4,1,4,4,7,6,3,2,4,1,0
1759,4,4,4,3,4,3,1,4,4,3,3,2,2,4,4,2,4,2,1,8,6,3,1,2,2,0
1760,2,4,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,1,1,2,1,0
1761,1,1,1,1,2,2,2,2,2,3,2,2,2,2,1,2,2,2,3,9,2,3,1,2,1,1
1762,2,3,4,2,3,2,1,1,2,2,3,2,3,4,2,2,2,3,2,4,5,1,2,1,2,1
1763,2,4,3,2,2,3,2,2,2,2,1,4,4,2,1,3,2,2,4,10,8,3,1,3,2,0
